source	target
Den samlede produksjonen av olje og gass var marginalt lavere i 2011 enn året før.	The overall production of oil and gas was marginally lower in 2011 than the year before.
Jeg kom på jobb for å diskutere aktuelle problemstillinger med Gunnar Berge tirsdag morgen, og i løpet av et par timer var jeg konstituert i hans stilling.	I came to work to discuss relevant issues with Gunnar Berge on Tuesday morning, and in just a couple of hours I was acting in his position."
Det blir oljeutbygging i Barentshavet.	An oil field is developed in the Barents Sea.
Dette er 0,1 millionar Sm3 o.e. meir enn i same månad i 2008.	This is 0.1 million standard cubic metres more than in April 2008.
Oljeproduksjonen ligg ti prosent over produksjonen i juli i fjor og er ni prosent over OD sin prognose for juli 2016.	​The oil production is 10 percent above the oil production in July last year and is nine percent above the NPD’s prognosis for July 2016.
I TFO 2013 mottok myndighetene søknader fra 50 selskap på et tilgjengelig areal på 103 029 km2.	In APA 2013, the authorities received applications from 50 companies for available acreage totalling 103 029 km2.
På norsk sokkel er det erfaring med trykk på opp mot 1 000 bar i Norskehavet (Kristin-området) og i sørlige del av Nordsjøen (i 2/12-1 Mjølner i Sentralgraben).	On the Norwegian shelf, we have experienced pressures up to around 1 000 bar in the Norwegian Sea (the Kristin area) and in the southern part of the North Sea (2/12-1 Mjølner in Sentralgraben).
Den første brønnen som ble boret i fjor avgrenset oljefunnet 7/8-3 Krabbe som ligger nord for Mimefeltet.	The first well, which was drilled last year, delimited the 7/8-3 Krabbe oil discovery situated to the north of the Mime field.
"Prisen er en anerkjennelse av at vi er en etablert aktør innenfor IOR-området, som blir stadig viktigere både i Norge og på verdensbasis,” sier Rasmus Sunde, administrerende direktør i FMC Kongsberg Subsea.	”The award is a recognition of our status as an established player in the IOR area, which is becoming increasingly important, both in Norway and globally,” says Rasmus Sunde, managing director of FMC Kongsberg Subsea.
Om lag halvparten av de uoppdagede ressursene ligger i Barentshavet, resten er fordelt på Nordsjøen og Norskehavet med omtrent like store andeler.	About half of the undiscovered resources are found in the Barents Sea; the rest are approximately equally divided between the North Sea and the Norwegian Sea.
Gass/vann-kontakten i Tarbertformasjonen er beregnet fra trykkdata til 2870 meter.	The gas/water contact in the Tarbert formation has been estimated at 2870 metres based on pressure data.
Det har vært minimalt nedtid som følge av dårlig vær.	There has been minimal downtime due to inclement weather.
Brønn 16/8-3 S er den første letebrønnen som er boret i utvinningstillatelse 360, men det er tre eldre brønner innenfor tillatelsens areal.	Well 16/8-3 S is the first exploration well drilled in production licence 360, but there are three older wells within the licence area.
Brønnen påtraff ikke reservoarbergarter i Rognformasjonen.	The well did not encounter reservoir rocks in the Rogn formation.
Olje/vann-kontakt ble påtruffet på 1922 meter under havnivå.	The oil/water contact was encountered at 1922 metres below sea level.
Brønnen påtraff om lag fem meter «intra Draupne sandstein» av dårlig reservoarkvalitet.	The well encountered about five metres of “intra Draupne sandstone” of poor reservoir quality.
Kontaktperson i Oljedirektoratet: Eldbjørg Vaage Melberg, telefon 51876100	Contact in the Norwegian Petroleum Directorate: Eldbjørg Vaage Melberg, telephone +47 51876100
SFT, Oljedirektoratet og Strålevernet beregner at kostnadene ved å frakte all borevæske og kaks til land vil være betydelige.	The SFT, the NPD and the NRPA estimate that the costs of sending all drilling fluid and cuttings to land would be considerable.
Jarle Aarbakke, til daglig rektor ved Universitetet i Tromsø, mener det er en stor utfordring å bidra til målet om en langsiktig og helhetlig forvaltning av nordområdene.	Helping to meet the goal of a long-term and unified development of Norway's northernmost continental shelf represents a major challenge, says Mr Aarbakke, rector of the University of Tromsø.
En av Oljedirektoratets geologer blir med om bord på skipet som seiler fra Kristiansund i begynnelsen av mai.	One of the Norwegian Petroleum Directorate’s geologists will join the ship’s crew, which will set sail from Kristiansund in early May.
Kjernene kan brukes til forskning innen en rekke områder, for eksempel sedimenttyper, stratigrafi, avsetningsmiljø og klimavariasjoner.	The cores may be used for research in a number of areas, for instance sediment types, stratigraphy, sedimentation environment and climate variations.
Brønn 3/4-2 S er den første leitebrønnen i utvinningsløyve 356, som blei delt ut i TFO 2005.	Well 3/4-2 S is the first exploration well in production licence 356, which was awarded in APA 2005.
Statoil har vært operatør for begge transportsystemene, som fikk godkjent sine respektive Planer for anlegg og drift (PAD), i 2014.	Statoil has been the operator of both transport systems since Plan for Installation and Operation (PIO) was approved in 2014.
Gjennomsnittlig dagsproduksjon er om lag 2,292 millioner fat olje og 0,289 millioner fat NGL og kondensat.	Average daily production is about 2.292 million barrels oil and 0.289 million barrels NGL and condensate.
Boreinnretningen vil fortsette arbeidet for Esso Norge AS i Jotunområdet, og vil nå bore brønn 25/8-14 S i utvinningstillatelse 027.	The drilling installation will continue working for Esso Norge AS in the Jotun area, and will now drill well 25/8-14 S in production license 027.
Brønnen ligger i Vøringbassenget om lag 160 kilometer nordvest for Åsgardfeltet i nordlige del av Norskehavet.	The well lies in the Vøring basin approx. 160 kilometres northwest of the Åsgard field in the northern part of the Norwegian Sea.
Arealet består av delar av blokkene 1/2,3,5,6 og 9.	The area in this licence consists of parts of the blocks 1/2, 3, 5, 6 and 9/10.
Under denne sonen ble det påvist en sandstein med bedre reservoarkvalitet.	Sandstone with better reservoir quality was proven underneath this zone.
Avgrensningsrønnen er boret om lag 20 kilometer øst for Kristinfeltet i Norskehavet og om lag 8 kilometer nordøst for funnbrønnen 6406/3-8.	The appraisal well was drilled around 20 kilometres east of the Kristin field in the Norwegian Sea and about 8 kilometres northeast of discovery well 6406/3-8.
- Selskapene har tiden fra februar til september til å lage søknaden sin.	“Companies were given from February to September to prepare their applications,” she explains.
30/11-11 S påtraff en total oljekolonne på 25 meter i øvre del av Tarbertformasjonen, hvorav 22 meter med moderate til gode reservoaregenskaper.	30/11-11 S encountered a 25-metre oil column in the upper part of the Tarbert formation, of which 22 metres had moderate to good reservoir properties.
Bøyla ligger i Alvheim-området, om lag 200 kilometer vest for Haugesund.	Bøyla is located in the Alvheim area, about 200 kilometres west of Haugesund.
Primært letemål for brønnen var å påvise petroleum i øvre jura reservoarbergarter (Sandnesformasjonen) og i midtre jura reservoarbergarter (Bryneformasjon).	The primary exploration target for the well was to prove petroleum in Upper Jurassic reservoir rocks (the Sandnes formation) and in Middle Jurassic reservoir rocks (the Bryne formation).
- Olje- og gassvirksomheten er viktig for Norge.	“The oil and gas business is important for Norway,” notes Maryann Løcka, deputy director general at the MPE.
Nær 100 tidligere tildelte TFO-tillatelser er tilbakelevert, og arealet derved gjort tilgjengelig for nye aktører.	Nearly 100 previously awarded APA licences have been relinquished, thus making the acreage available for new players.
Undersøkelsesbrønn 25/11-24 ble boret til et totalt dyp på 2091 meter under havoverflaten og avsluttet i bergarter av jura alder.	Wildcat well 25/11-24 was drilled to a total depth of 2091 meters below the sea surface, and was concluded in Jurassic rocks.
Dette vil dette kunne auke utvinninga ytterligare.	This can further improve recovery.
Den andre rettshavarene er Petoro AS med 40 prosent.	The other licensee is Petoro AS with 40 per cent.
Arbeidet ledes av forsker Stig Falk-Pedersen.	The work is headed by researcher Stig Falk-Pedersen.
Brønnen blir bora om lag 20 kilometer nordaust for Aasta Hansteen feltet.	The well will be drilled about 20 kilometres north-east of the Aasta Hansteen field.
Gullfaks C var stengd heile juni pga brønnproblem.	Gullfaks C was closed due to well problems.
Programmet Olje for utvikling (OfU) er et sentralt satsingsområde for regjeringens utviklingspolitikk.	The Oil for Development Initiative (OfD) is a key focus area for the government's development policy.
Mai 2004	May 2004
Det meste av den injiserte gassen blir solgt i en seinere fase.	Most of the injected gas will be sold during a later phase.
Foreløpige beregninger av størrelsen på funnet er mellom 0,5 og 2 millioner Sm³ utvinnbare oljeekvivalenter.	Preliminary estimates place the size of the discovery at between 0.5 and 2 million Sm³ recoverable oil equivalents.
Hun gjennomgikk de store funnene som ble gjort i Nordsjøen og Barentshavet, og som ifølge henne har ført til en ny optimisme i bransjen.	She reviewed the major discoveries that were made in the North Sea and Barents Sea that, according to her, have led to renewed optimism in the industry.
Utvinningsløyve 881 blei tildelt i TFO 2016.	Production licence 881 was awarded in APA 2016.
Arealet i denne utvinningstillatelsen består av blokkene 7122/7, 8, 9 og 10 og 7123/7, som ligger om lag 85 km nordvest for Hammerfest, cirka 50 km sørøst for Snøhvitfeltet.	The area of this production licence consists of blocks 7122/7, 8, 9 and 10 and 7123/7, which are situated about 85 km north-west of Hammerfest and about 50 km south-east of the Snøhvit field.
Det var store variasjoner i fangstmengde fra levering til levering, og antallet leveringer i periodene før og under de seismiske undersøkelsene var for få til å kunne påvise eventuelle forandringer som følge av 2D-seismikken.	There were substantial variations in the catch volumes from delivery to delivery, and there were too few catches delivered in the periods before and during the seismic surveys in order to be able to prove any changes resulting from the 2D seismic shooting.
Brønn 7324/8-2 skal borast frå boreinnretninga Leiv Eriksson i posisjon 73 24`0,63" nord og 24 26´43,60" aust.	Well 7324/8-2 will be drilled from the Leiv Eriksson drilling facility at position 73 24` 0.63" north and 24 26´ 43.60" east.
Et kontinentalsokkelutvalg ble i 1963 oppnevnt for å bistå Industridepartementet i å utarbeide lover og bestemmelser.	- A continental shelf committee was appointed in 1963 to support the industry ministry in preparing legislation and regulations.
I tillegg ble det gjort et mindre gassfunn i miocene til pliocene bergarter.	A small gas discovery was also made in Miocene to Pliocene rocks.
Oljedirektoratets siste gjennomgang har bekreftet en rekke av de forutsetningene som lå til grunn for det forrige anslaget.	The Norwegian Petroleum Directorate's latest review has confirmed a number of the assumptions which formed the basis for the previous estimate.
Njord A startet å produsere 19 juli etter å ha gjennomført omfattende forsterkninger av plattformkonstruksjonen, plattformen har vært nedstengt siden juli 2013.	Njord A started production on July 19th after extensive reinforcement of platform construction, the platform has been shut down since July 2013.
Brønnene 35/11-18 & 18 A ble boret av boreinnretningen Borgland Dolphin som nå skal bore avgrensningsbrønn 25/10-14 i Nordsjøen i utvinningstillatelse 571, der Suncor Energy Norge AS er operatør.	Wells 35/11-18 & 18 A were drilled by the Borgland Dolphin drilling facility, which will now drill appraisal well 25/10-14 in the North Sea in production licence 571, where Suncor Energy Norge AS is the operator.
Brønn 16/4-6 S skal borast frå boreinnretninga Bredford Dolphin i posisjon 58°41’33,84’’ nord 02°13’52,02’’ aust i utvinningsløyve 359.	Well 16/4-6 S will be drilled from the Bredford Dolphin drilling facility at position 58°41’33.84’’ north and 02°13’52.02’’ east in production licence 359.
Brønn 2/5-14 S ble boret av innretningen Mærsk Gallant på 67 meter havdyp.	Well 2/5-14 S was drilled by the Mærsk Gallant drilling facility at a depth of 67 metres.
Frokosten blir servert klokka 7.30 i møterommet Halten i Stavanger Forum.	The breakfast will be served at 07:30 in the Halten meeting room in Stavanger Forum and will be accompanied by a presentation of the recipient of the NPD`s 2012 IOR prize.
Wintershall er operatør med ein del på 60 prosent.	Wintershall is the operator with an ownership interest of 60 per cent.
Totalvolumet er 1,4 MSm3 o.e. høgare enn i januar 2015.	The total volume is 1.4 MSm3 o.e. higher than in 2015.
Brønn 6507/3-6 ble boret på 377 meters havdyp av boreinnretningen Bredford Dolphin som nå skal til utvinningstillatelse 270 i Nordsjøen for å bore undersøkelsesbrønn 35/3-7 der selskap VNG Norge (Operations) AS er operatør.	Well 6507/3-6 was drilled in 377 metres of water by the Bredford Dolphin drilling facility, which will now proceed to production licence 270 in the North Sea to drill wildcat well 35/3-7, operated by the company VNG Norge (Operations) AS.
Halland påpekte i sitt foredrag at fangst og lagring av CO2 er en vesentlig del av den totale reduksjonen som er nødvendig dersom en skal ha en sjanse til å nå togradersmålet:	In her presentation, Halland noted that capture and storage of CO2 is a significant part of the total reduction necessary in order to have a chance of achieving the two-degree target:
Flere soner har meget god permeabilitet.	Several zones have very good permeability.
”Oljedirektoratets prognoser for petroleumsproduksjonen strekker seg forbi 2050 og vi står foran mange år med et høyt aktivitetsnivå.	”The Norwegian Petroleum Directorate’s prognoses for petroleum production stretch beyond 2050 and we are facing many years with a high activity level.
De øverste 14 meterne er i øvre jura reservoarbergarter av meget god kvalitet, over 16 meter med perm reservoarbergarter (Zechsteingruppen) av varierende reservoarkvalitet i kalkstein og dolomitt.	The top 14 metres are very good quality Upper Jurassic reservoir rocks, over 16 metres of Permian reservoir rocks (the Zechstein Group) of varying reservoir quality in limestone and dolomite.
Kun mindre endringer i mal for årlig statusrapport fra 2016 til 2017.	Only minor changes in the template for the annual status report from 2016 to 2017.
Totalvolumet er 7,3 MSm3 o.e. høgare enn på same tid i 2015.	The total volume is 7.3 MSm3 o.e. higher than in 2015.
Etter at målet om null utslipp av olje og miljøfarlige stoffer til sjø kom i 1997, er utslippene av kjemikalier i svart kategori redusert fra 228 tonn til knapt ett tonn i 2009.	After the target of zero discharges of oil and environmentally hazardous substances was introduced in 1997, discharges of chemicals in the black category have been reduced from 228 tonnes to barely one tonne in 2009.
Reservoaregenskapene er moderate til dårlige og ikke av samme kvalitet som hovedreservoaret på Johan Sverdrup.	The reservoir properties are moderate to poor, and they are not of the same quality as the main reservoir on Johan Sverdrup.
Dette er den femte letebrønnen i utvinningstillatelse 218.	This is the fifth exploration well in production licence 218.
Hensikten med brønnen var å påvise petroleum i midtre til nedre jura reservoarbergarter.	The objective of the well was to prove petroleum in Middle to Lower Jurassic reservoir rocks.
Brønnbane 30/9-22 skal bores fra boreinnretningen Polar Pioneer i posisjon 60º 17’ 32,38’’ Nord og 02º 42’ 6,46’’ Øst, etter avslutning av boring av undersøkelsesbrønnen 7223/5-1 for StatoilHydro Petroleum AS i utvinningstillatelse 228.	Wellbore 30/9-22 will be drilled from the Polar Pioneer drilling facility at position 60º 17’ 32.38’’ North and 02º 42’ 6.46’’ East, after the facility concludes drilling of wildcat well 7223/5-1 for StatoilHydro Petroleum AS in production licence 228.
Detaljene i ressursregnsregnskapet vises i de vedlagte nedlastbare tabellene.	Details of the resource accounts are shown in the attached tables, which can be downloaded.
Avgrensningsbrønnen ble boret til et vertikalt dyp på 4118 meter under havflaten, og ble avsluttet i Etiveformasjonen i midtre jura bergarter.	The appraisal well was drilled to a vertical depth of 4118 metres below sea level, and was concluded in the Etive Formation in Middle Jurassic rocks.
«Selv i et krevende år er det godt å se at olje- og gassnæringen fortsatt er landets største, med en samlet eksportverdi på godt over 400 milliarder kroner,» sier oljedirektør Bente Nyland.	"Even in a demanding year, it's good to see that the oil and gas industry is still the country's largest, with total export values reaching well over NOK 400 billion," says Director General Bente Nyland.
Rettighetshavere vurderer ulike konsepter for Dagnyfunnet og hvordan informasjonen fra de siste brønnene vil påvirke konseptvalg og tidsplan.	The licensees are considering various concepts for the Dagny discovery and how the information from the latest wells will affect their choice of concept and schedule.
Brønnen påtraff hydrokarboner i sandsteiner med dårlig reservoarkvalitet av midtre jura alder.	The well encountered hydrocarbons in sandstone with poor reservoir quality from the Middle Jurassic Age.
Lundin Norway AS 40 %	Lundin Norway AS 40 %
Det bores for tiden to brønner i området.	Two wells are currently being drilled in the area.
Brønnen vil permanent plugges og forlates når den totale dybden blir nådd.	The well will be permanently plugged and abandoned when the total depth is reached.
Operatør Statoil planlegger oppstart sent juni 2017.	Operator Statoil is planning start-up in late June 2017.
Det betyr at olje- og gassindustrien står for ca 30 prosent av de nasjonale utslippene.	This means that the oil and gas industry accounts for about 30 per cent of the national emissions.
Oljen utgjør nær 10 millioner kubikkmeter (62 millioner fat) av reservene, mens gassreservene utgjør 7,8 milliarder Sm3.	Of the reserves, the oil makes up nearly 10 million cubic metres (62 million barrels), while the gas reserves amount to 7.8 billion Sm3.
16/1-15 og 16/1-15 A ble boret til et vertikalt dyp på henholdsvis 2125 og 1986 meter under havflaten, og begge ble avsluttet i grunnfjell.	16/1-15 and 16/1-15 A were drilled to vertical depths of 2125 and 1986 metres, respectively, below the sea surface, and both were terminated in bedrock.
Det er en svak nedgang fra 2013.	This represents a slight decline from 2013.
Last ned: kart.pdf	Download: Map.pdf
Samarbeid og samhandling oppleves som bra på alle områder.	Cooperation and interaction are perceived as good in all areas.
Brønn 35/12-4 A ble boret inn i topp Brentgruppen for å undersøke den nordøstlige delen av Grosbeak strukturen.	Well 35/12-4 A was drilled at the top Brent Group to study the north-eastern part of the Grosbeak structure.
Arealet i denne tillatelsen består av deler av blokk 30/11.	The area in this licence consists of parts of block 30/11.
Leteaktiviteten skaper betydelige verdier	Exploration activity creates considerable value
Denne uken var geologer fra USGS på besøk for å snakke med geologer i OD i forbindelse med USGSs studie av petroleumsressurser i Arkis (Circum-Arctic Resource Appraisal – CARA).	This week, geologists from the USGS paid a visit to the NPD geologists in order to discuss the USGS study of Arctic petroleum resources (Circum-Arctic Resource Appraisal – CARA).
Framtidsrettet miljøarbeid Et av de mest diskuterte oljepolitiske spørsmål i 2003 knyttet seg til eventuell petroleumsvirksomhet i Lofoten og Barentshavet.	Progressive environmental work One of the most controversial oil policy issues in 2003 was linked to potential petroleum activities in Lofoten and the Barents Sea.
De mange fjellformasjonene er bokstavelig talt utstillingsvinduet for undergrunnen i de nordlige havområdene.	The many mountain ranges in these Arctic islands serve literally as display windows for the sub-surface on the northern NCS.
Det blir også planlagt seismikkinnsamling ved Jan Mayen neste sommer.	Seismic data acquisition around Jan Mayen is also planned for next summer.
Luno ble avgrenset av brønn 16/1-13 (avsluttet 22. januar).	Luno was delineated by well 16/1-13 (completed on 22 January).
Reservetilveksten i år har vært 102 millioner Sm3 o.e., mot 344 millioner Sm3 o.e. i fjor.	Reserve growth this year was 102 million Sm3 o.e., compared with 344 million Sm3 o.e. last year.
Brønnen er boret om lag 6 kilometer vest for Osebergfeltet i Nordsjøen.	The well was drilled about six kilometres west of the Oseberg field in the North Sea.
”TFO-ordningen har fungert etter hensikten.	”The APA scheme has functioned as intended.
Hva bestemmer produksjonsutviklingen på et felt og i en provins?	What determines production trends for a field or a province?
Foreløpige beregning av størrelsen på funnet er mellom 13,7 og 18,1 millioner Sm3 utvinnbare oljeekvivalenter.	Preliminary estimates indicate the size of the discovery as somewhere between 13.7 and 18.1 million Sm3 recoverable oil equivalents.
Hinderaker representerte OD på det første styringskomitemøtet, som ble avviklet i København 12. oktober.	Hinderaker represented the NPD at the first steering committee meeting, which was held in Copenhagen on 12 October.
I primært mål ble det påtruffet bergarter av betydelig mektighet og av god reservoarkvalitet.	The primary target encountered rocks of significant thickness and good reservoir quality.
ÅPENHET MOT KORRUPSJON - Det er et stort internasjonalt problem å utnytte olje og energi på en riktig måte.	Contribute “Exploiting oil and energy in the right way is a major global problem,” says Mr Solheim.
Dette er den første brønnen som blir bora innafor løyvet sitt areal.	This is the first well drilled in the licence.
Boreprogrammet for brønn 7324/7-2 gjeld boring av ein undersøkingsbrønn i utvinningsløyve 537.	The drilling programme for well 7324/7-2 relates to the drilling of a wildcat well in production licence 537.
Undersøkelsen gir klare tegn på at fisken reagerte på lyden fra seismikkanonene.	The survey clearly indicates that the fish reacted to the sound from the seismic guns.
Det var høyere boreaktivitet i første kvartal i år enn tilsvarende periode i fjoråret.	There was more drilling activity in the first quarter of this year than in the corresponding period in 2008.
I dag har havbunnen sunket 9,5 meter i enkelte områder.	Today, the seabed has subsided up to 9.5 metres in some areas.
Brønnen blir bora 4,4 kilometer nordvest for funnbrønnen 16/4-6 S (Luno II).	The well will be drilled 4.4 kilometres northwest of the discovery well, 16/4-6 S (Luno II).
Dette er den fjerde brønnen som blir bora innafor løyvet sitt areal.	This is the fourth well to be drilled in the licence area.
Boreprogrammet for brønnbane 24/12-6 S gjeld boring av undersøkingsbrønn i utvinningsløyve 341.	The drilling program for wellbore 24/12-6 S relates to the drilling of a wildcat well in production licence 341.
Kartlegging av de østlige delene av Barentshavet nord	Mapping of the eastern parts of the Barents Sea north
Studien, som skal utføres av Rambøll Oil & Gas, skal etter planen overleveres til myndighetene i slutten av desember i år.	The plan is for the study, to be performed by Rambøll Oil & Gas, to be submitted to the authorities towards the end of December of this year.
Fra venstre: Jon Sandnes, Lars Stoltenberg, Lars Moe, Tord Lien, Hans-Hermann Andreae.	From left: Jon Sandnes, Lars Stoltenberg, Lars Moe, Tord Lien, Hans-Hermann Andreae.
Det er et krav at fiskerikyndige behersker grunnleggende engelsk, inkludert fagterminologi, for å kunne gjøre jobben på en tilfredsstillende måte.	The fishery experts must have a fundamental grasp of English, including technical terminology, in order to carry out their work in a satisfactory manner.
På Ekofiskfeltet er utvinningsgraden økt fra 17 til 50 prosent, sa olje- og energiminister Åslaug Haga i sin innledning.	On the Ekofisk field the recovery rate has increased from 17 to 50 per cent," said Minister of Petroleum and Energy Åslaug Haga in her introduction.
Vi skal ikke gjøre noen beregninger, men USGS er avhengig av data og å kommunisere med personer og organisasjoner som har kjennskap til de uoppdagede ressursene i Arktis.	We will not be doing any calculations, but the USGS relies on data and needs to communicate with people and organisations that are knowledgeable about the undiscovered resources in the Arctic.
Letemålet for brønnen var å påvise petroleum i reservoarbergarter av tidligkritt alder (intra Knurrformasjonen).	The exploration target for the well was to prove petroleum in Early Cretaceous reservoir rocks (intra-Knurr formation).
Brønnen er boret 13 kilometer sørøst for Ulafeltet i den sørøstlige delen av Nordsjøen.	The well was drilled 13 kilometres southeast of the Ula field in the southeastern part of the North Sea.
Dei andre rettshavarane er Noreco Norway AS (20 prosent), Concedo ASA (20 prosent), Skagen 44 AS (15 prosent), North Energy ASA (15 prosent) og Lime Petroleum Norway AS (5 prosent).	The licensees are Noreco Norway AS with 20%, Concedo ASA with 20%, Skagen 44 AS with 15%, North Energy ASA with 15% and Lime Petroleum Norway AS with 5%.
Det er OD som koordinerer dette arbeidet.	The NPD coordinates this work.
Disse blir oppbevart i et kjølerom som holder -20 C (for at flyktige hydrokarboner ikke skal fordampe).	These are stored in a refrigerated room kept at a temperature of -20 C (so that volatile hydrocarbons will not evaporate).
Glitne i Nordsjøen hadde sin siste produksjonsdag 25. februar.	Glitne in the North Sea completed its final production day on 25 February.
Endelege produksjonstal for november blir tilgjengelege i januar.	Final figures for November will be available during January 2011.
Trym feltet startet produksjon i februar.	The Trym field started production in February.
Forhåpentligvis kan det komme opp konkrete prosjekter i løpet av våren.	Hopefully, there can be concrete projects this spring.
Den totale petroleumsproduksjonen var om lag19,5 millionar standard kubikkmeter oljeekvivalentar (MSm3 o.e.) i januar.	The total production in January 2014 was about 19.5 million Sm3 oil equivalents.
Tillatelsen forutsetter at de øvrige tillatelser og samtykker som kreves av andre myndigheter er gitt før boreraktiviteten starter.	The permit is conditional on the operator obtaining all other permits and consents required by other authorities before the drilling activity commences.
Dette er den sjuende letebrønnen i utvinningstillatelse 532.	This is the seventh exploration well in production licence 532.
Denne viste som forventet noe reduserte strømningsegenskaper.	As expected, this showed somewhat reduced flow properties.
Men kraftanleggene offshore er ikke lite effektive.	However, the offshore power plants are not inefficient.
Informasjon om selskapet	Information about the Company
Brønnbane 34/10-49 A ble boret som sidesteg fra 34/10-49 S.	Wellbore 34/10-49 A was drilled as a sidetrack from 34/10-49 S. In addition wellbore 34/10-49 S was extended to a new prospect area.
Johan Sverdrup er den største utbyggingen på norsk sokkel siden Oseberg, hvor PUD ble innlevert i 1984.	Johan Sverdrup is the largest development on the Norwegian shelf since Oseberg, where the PDO was submitted in 1984.
ODs Espen Simonstad, Tomas Mørch og Nina Pedersen sjekker kjerner.	The NPD’s Espen Simonstad, Tomas Mørch and Nina Pedersen check the cores.
Leverandørindustrien og petroleumsrelatert forskning og teknologi.	The supplier industry and petroleum related research and technology
Tillatelsen ble tildelt i 18. konsesjonsrunde.	The licence was awarded in the 18th licensing round.
Samlingene er ofte intensive og går over to dager, det passer meg bra.	The events are often intensive and take place over the course of two days, which suits me well.”
Brønn 15/12-24 S ble boret av boreinnretningen Maersk Giant som nå skal starte permanent plugging av brønner på Vargfeltet i utvinningstillatelse 038 i Nordsjøen, der Talisman Energy Norge AS er operatør.	Well 15/12-24 S was drilled by the Maersk Giant drilling facility, which will now start permanent plugging of wells on the Varg field in production licence 038 in the North Sea, where Talisman Energy Norge AS is the operator.
Letemodeller >>	Geological plays >>
Arealet i denne tillatelsen består av blokk 34/8 i Nordsjøen.	The area in this permit consists of block 34/8 in the North Sea.
Til daglig konkurrerer selskapene om å få tildelt konsesjoner.	The companies compete on a daily basis to be awarded licences.
Brønnen ble boret til et vertikalt dyp av 3217 meter under havflaten og ble avsluttet i undre jura reservoarbergarter (Cookformasjon).	The well was drilled to a vertical depth of 3217 metres below the sea surface and terminated in Lower Jurassic reservoir rocks (Cook formation).
Det blir igangsatt omfattende studier for å kunne bestemme størrelsen på dette nye oljefunnet og om det kan være drivverdig.	Extensive studies will be undertaken to determine the size of this new oil discovery, and whether it could be commercial.
StatoilHydro Petroleum AS er operatør med 40 prosent andel.	StatoilHydro is the operator with an ownership interest of 40 per cent.
I første kvartal i år var det 22 flyttbare boreinnretninger i aktivitet på sokkelen, mot 18 i tilsvarende periode i fjor.	In the first quarter of this year, 22 mobile drilling facilities were in operation on the shelf, compared with 18 during the same period last year.
Les også: Johan Sverdrup - blant de aller største >>	Read more: Johan Sverdrup - in the company of giants >>
Prospektet ligger 25 km nordøst for Nornefeltet og 2,7 km sørøst for Linerlefunnet som ble gjort i 2004.	The prospect is located 25 km northeast of the Norne field and 2.7 km southeast of the Linerle discovery, which was discovered in 2004.
Blant annet er det gjennomført flere og store konsesjonsrunder med rekordmange tildelinger.	They include a big series of major licensing rounds with a record number of awards.
Brønnen er ikke formasjonstestet, men det er utført omfattende datainnsamling og prøvetakning.	The well was not formation-tested, but extensive data collection and sampling have been performed.
Gjennomsnittlig dagsproduksjon i juni var cirka 2 250 000 fat olje, cirka 237 000 fat NGL og cirka 148 000 fat kondensat.	The average daily production was about 2 250 000 barrels oil, about 237 000 barrels NGL and about 148 000 barrels condensate.
Brønnen blir bora om lag 85 kilometer nord for Berlevåg i Finnmark.	The well will be drilled about 85 kilometres north of Berlevåg in Finnmark.
Norsk sokkel er ifølge Nyland godt rustet til å møte og håndtere endringene som nå skjer, selv om det er stor usikkerhet i petroleumsnæringen.	According to Nyland, the Norwegian shelf is well-equipped to face and tackle the changes that are happening, in spite of the significant uncertainty in the petroleum industry.
Endelege produksjonstal for april 2017 viser ein gjennomsnittleg dagsproduksjon på om lag 1,704 millionar fat olje, 0,404 millionar fat NGL og kondensat og totalt 10,5 GSm3 gass for sal.	Final production figures from April 2017 show an average daily production of about 1.704 million barrels of oil, 0.404 million barrels of NGL and condensate and a total of 10.5 billion Sm3 saleable gas production.
Vi har et sterkt offshore teknologimiljø i Norge.	We have a strong offshore technology environment in Norway.
Arealet i dette løyvet består av delar av blokk 25/8 og 25/11.	The area in this licence consists of parts of the blocks 25/8, and 25/11.
ROV-toktet (ROV = fjernstyrt undervannsfartøy) ble gjennomført den siste uka i august i fjor.	The ROV expedition (ROV = remotely operated vehicle) was carried out in the final week of August last year.
Hensikten med den obligatoriske kursingen – som første gang ble gjennomført i 2009 – er å gjøre de fiskerikyndige i stand til å gjøre en enda bedre jobb på havet.	The objective of the mandatory course – which was held for the first time in 2009 – is to enable the fishery liaisons to do an even better job at sea.
Olje- og energidepartementet ønsker å gi industrien tilgang til område for framtidig lagring av karbondioksid frå Mongstad-anlegget i Hordaland og eventuelle andre kjelder i kombinasjon med karbondioksid frå Mongstad.	The Ministry of Petroleum and Energy wants to give the industry access to areas for future storage of carbon dioxide from the Mongstad facility in Hordaland and any other sources in combination with carbon dioxide from Mongstad.
Rettighetshaverne vil vurdere utvinning av tilleggsressursene.	The licensees will assess recovery of the additional resources.
15/6-10, gass/kondensat, størrelse ikke avklart.	15/6-10, gas/condensate, size not determined.
Brønn 8/10-6 S er den sjette leitebrønnen i dette utvinningsløyvet.	Wellbore 8/10-6 S is the sixth exploration well in this production licence.
Dette var første brønn i utvinningstillatelse 286 som ble tildelt i 17. konsesjonsrunde i 2002.	This was the first well drilled in this production licence, which was awarded in the 17th licensing round in 2002.
